SA_step,Energy,Energy_Error,Mu,Sigma
245,-0.437689,0.0418491,0.816027,0.579194
246,-0.440971,0.0419065,0.812961,0.632748
247,-0.425202,0.0404704,0.716833,0.590566
248,-0.425202,0.0404704,0.716833,0.590566
249,-0.425202,0.0404704,0.716833,0.590566
250,-0.425202,0.0404704,0.716833,0.590566
251,-0.425202,0.0404704,0.716833,0.590566
252,-0.425202,0.0404704,0.716833,0.590566
253,-0.425202,0.0404704,0.716833,0.590566
254,-0.441632,0.0419758,0.798062,0.568371
255,-0.454403,0.0431724,0.794216,0.644748
256,-0.454403,0.0431724,0.794216,0.644748
257,-0.454403,0.0431724,0.794216,0.644748
258,-0.454403,0.0431724,0.794216,0.644748
259,-0.454403,0.0431724,0.794216,0.644748
260,-0.454403,0.0431724,0.794216,0.644748
261,-0.454403,0.0431724,0.794216,0.644748
262,-0.454403,0.0431724,0.794216,0.644748
263,-0.454403,0.0431724,0.794216,0.644748
264,-0.454403,0.0431724,0.794216,0.644748
265,-0.454403,0.0431724,0.794216,0.644748
266,-0.45267,0.0430162,0.787234,0.652461
267,-0.45267,0.0430162,0.787234,0.652461
268,-0.45267,0.0430162,0.787234,0.652461
269,-0.438551,0.0419377,0.791957,0.63571
270,-0.448783,0.0426052,0.778601,0.627109
271,-0.448783,0.0426052,0.778601,0.627109
272,-0.448783,0.0426052,0.778601,0.627109
273,-0.450698,0.0428392,0.826529,0.632525
274,-0.462381,0.0439322,0.774481,0.635772
275,-0.462381,0.0439322,0.774481,0.635772
276,-0.462381,0.0439322,0.774481,0.635772
277,-0.462381,0.0439322,0.774481,0.635772
278,-0.462381,0.0439322,0.774481,0.635772
279,-0.462381,0.0439322,0.774481,0.635772
280,-0.462381,0.0439322,0.774481,0.635772
281,-0.462381,0.0439322,0.774481,0.635772
282,-0.462381,0.0439322,0.774481,0.635772
283,-0.462381,0.0439322,0.774481,0.635772
284,-0.462381,0.0439322,0.774481,0.635772
285,-0.462381,0.0439322,0.774481,0.635772
286,-0.462381,0.0439322,0.774481,0.635772
287,-0.462381,0.0439322,0.774481,0.635772
288,-0.462381,0.0439322,0.774481,0.635772
289,-0.462381,0.0439322,0.774481,0.635772
290,-0.462381,0.0439322,0.774481,0.635772
291,-0.462381,0.0439322,0.774481,0.635772
292,-0.462381,0.0439322,0.774481,0.635772
293,-0.462381,0.0439322,0.774481,0.635772
294,-0.462381,0.0439322,0.774481,0.635772
295,-0.462381,0.0439322,0.774481,0.635772
296,-0.462381,0.0439322,0.774481,0.635772
297,-0.462381,0.0439322,0.774481,0.635772
298,-0.462381,0.0439322,0.774481,0.635772
299,-0.462381,0.0439322,0.774481,0.635772
300,-0.462381,0.0439322,0.774481,0.635772
301,-0.462381,0.0439322,0.774481,0.635772
302,-0.462381,0.0439322,0.774481,0.635772
303,-0.462381,0.0439322,0.774481,0.635772
304,-0.462381,0.0439322,0.774481,0.635772
305,-0.462381,0.0439322,0.774481,0.635772
306,-0.462381,0.0439322,0.774481,0.635772
307,-0.462381,0.0439322,0.774481,0.635772
308,-0.462381,0.0439322,0.774481,0.635772
309,-0.462381,0.0439322,0.774481,0.635772
310,-0.462381,0.0439322,0.774481,0.635772
311,-0.462381,0.0439322,0.774481,0.635772
312,-0.462381,0.0439322,0.774481,0.635772
313,-0.462381,0.0439322,0.774481,0.635772
314,-0.462381,0.0439322,0.774481,0.635772
315,-0.462381,0.0439322,0.774481,0.635772
